Index,p_inf,p_hcw,c_hcw,d,q,p_s,rrd,intro,T_lat,juvp_s,T_inf,T_rec,T_sym,T_hos,K,inf_asym
0,0.153532,0.60916,37.9059,0.525139,0.313957,0.787278,0.516736,8.50135E-07,4,0.1,1.5,11,7,5,2000,1
1,0.12602,0.429026,43.9404,0.277644,0.722916,0.470001,3.41006,6.27917E-07,4,0.1,1.5,11,7,5,2000,1
2,0.133571,0.581229,36.9656,0.150568,0.844921,0.449271,3.65667,3.41873E-07,4,0.1,1.5,11,7,5,2000,1
3,0.143701,0.759681,51.5907,0.524911,0.344917,0.716789,2.29141,7.29239E-07,4,0.1,1.5,11,7,5,2000,1
4,0.122796,0.442852,40.8748,0.142544,0.231988,0.611841,1.99699,5.03536E-07,4,0.1,1.5,11,7,5,2000,1
5,0.158849,0.533349,37.194,0.278803,0.820739,0.79722,1.30675,5.91761E-07,4,0.1,1.5,11,7,5,2000,1
6,0.149491,0.787899,43.4072,0.524841,0.819847,0.752574,0.391715,8.70935E-07,4,0.1,1.5,11,7,5,2000,1
7,0.156793,0.680304,29.2503,0.657286,0.374958,0.610836,0.819619,6.24708E-07,4,0.1,1.5,11,7,5,2000,1
8,0.174371,0.482221,42.3917,0.646519,0.215127,0.862822,1.65215,4.99329E-07,4,0.1,1.5,11,7,5,2000,1
9,0.113021,0.434088,35.5305,0.420806,0.486234,0.507927,0.00241627,8.72607E-07,4,0.1,1.5,11,7,5,2000,1
10,0.136726,0.169554,48.1521,0.141095,0.686146,0.689953,0.31971,8.4595E-07,4,0.1,1.5,11,7,5,2000,1
11,0.165885,0.323002,43.7739,0.583777,0.400092,0.90224,0.026679,5.03803E-07,4,0.1,1.5,11,7,5,2000,1
12,0.171982,0.360028,38.1863,0.538308,0.190238,0.869514,2.22113,4.46005E-07,4,0.1,1.5,11,7,5,2000,1
13,0.168885,0.793267,41.6929,0.478403,0.48312,0.798236,0.486824,6.38158E-07,4,0.1,1.5,11,7,5,2000,1
14,0.172413,0.78318,37.3415,0.323049,0.525201,0.845853,1.42791,6.09131E-07,4,0.1,1.5,11,7,5,2000,1
15,0.148479,0.78211,39.2822,0.466347,0.567213,0.829191,0.640718,9.73564E-07,4,0.1,1.5,11,7,5,2000,1
16,0.156409,0.788482,54.5743,0.523302,0.299141,0.863158,1.86637,6.71349E-07,4,0.1,1.5,11,7,5,2000,1
17,0.125624,0.106831,45.5386,0.183136,0.536528,0.686163,0.813918,8.14404E-07,4,0.1,1.5,11,7,5,2000,1
18,0.154039,0.789015,39.759,0.425006,0.835303,0.768237,0.0544021,8.17742E-07,4,0.1,1.5,11,7,5,2000,1
19,0.155724,0.742583,41.5725,0.536045,0.847816,0.784645,0.393761,8.85117E-07,4,0.1,1.5,11,7,5,2000,1
20,0.174848,0.4792,37.7584,0.573938,0.307466,0.908113,1.65357,4.36918E-07,4,0.1,1.5,11,7,5,2000,1
21,0.148657,0.790818,52.913,0.369261,0.129005,0.799494,2.06703,8.08721E-07,4,0.1,1.5,11,7,5,2000,1
22,0.169181,0.874047,41.5361,0.441773,0.557363,0.774909,0.00613229,4.80902E-07,4,0.1,1.5,11,7,5,2000,1
23,0.188667,0.583844,46.4934,0.558911,0.577772,0.764029,0.366862,2.28164E-07,4,0.1,1.5,11,7,5,2000,1
24,0.164967,0.691306,38.5831,0.29432,0.450413,0.931169,0.876972,7.87446E-07,4,0.1,1.5,11,7,5,2000,1
25,0.178003,0.589823,39.9983,0.407008,0.816877,0.791379,1.43325,5.30653E-07,4,0.1,1.5,11,7,5,2000,1
26,0.11587,0.41101,39.4607,0.194877,0.195675,0.59685,1.86678,4.11392E-07,4,0.1,1.5,11,7,5,2000,1
27,0.145503,0.466577,44.7893,0.652565,0.338484,0.677229,0.475057,8.78587E-07,4,0.1,1.5,11,7,5,2000,1
28,0.160536,0.322174,48.2108,0.547281,0.505764,0.854032,0.343901,6.42736E-07,4,0.1,1.5,11,7,5,2000,1
29,0.17581,0.799585,39.6487,0.301282,0.671676,0.86932,1.91399,6.85022E-07,4,0.1,1.5,11,7,5,2000,1
30,0.146318,0.68374,37.9087,0.532978,0.424451,0.776143,0.32367,8.38133E-07,4,0.1,1.5,11,7,5,2000,1
31,0.138754,0.649008,42.4942,0.567556,0.504048,0.511372,0.385416,4.25415E-07,4,0.1,1.5,11,7,5,2000,1
32,0.155614,0.638466,40.1365,0.490831,0.313116,0.836183,0.14078,8.78606E-07,4,0.1,1.5,11,7,5,2000,1
33,0.169659,0.449443,31.7089,0.692805,0.265236,0.88164,2.35423,9.3805E-07,4,0.1,1.5,11,7,5,2000,1
34,0.153514,0.799643,51.3401,0.532149,0.228839,0.859857,2.08132,5.89187E-07,4,0.1,1.5,11,7,5,2000,1
35,0.129637,0.261155,48.4925,0.138974,0.652218,0.624899,0.459767,8.38262E-07,4,0.1,1.5,11,7,5,2000,1
36,0.133195,0.40554,40.036,0.615122,0.359603,0.660743,0.805969,9.42986E-07,4,0.1,1.5,11,7,5,2000,1
37,0.171524,0.338739,46.2696,0.582707,0.423835,0.861742,0.033441,6.03193E-07,4,0.1,1.5,11,7,5,2000,1
38,0.149114,0.785954,47.9765,0.424583,0.857647,0.729413,0.250205,9.74899E-07,4,0.1,1.5,11,7,5,2000,1
39,0.170237,0.59405,43.4831,0.578797,0.162926,0.82945,2.04984,3.76389E-07,4,0.1,1.5,11,7,5,2000,1
40,0.120883,0.23709,40.7176,0.201052,0.143773,0.565624,2.69268,3.78472E-07,4,0.1,1.5,11,7,5,2000,1
41,0.151645,0.441346,40.4854,0.597546,0.614107,0.712472,3.3864,9.65136E-07,4,0.1,1.5,11,7,5,2000,1
42,0.16612,0.529107,52.6547,0.516767,0.836726,0.802303,0.975982,7.34973E-07,4,0.1,1.5,11,7,5,2000,1
43,0.183946,0.558086,53.8672,0.446918,0.862554,0.860272,1.09095,7.95578E-07,4,0.1,1.5,11,7,5,2000,1
