Scotland's Census 2011 - National Records of Scotland,,,,
Table DC1117SC - Age by sex,,,,
All people,,,,
,,,,
,,All people,Males,Females
Scotland,All people,"5,295,403","2,567,444","2,727,959"
Scotland,Under 1,"58,715","29,892","28,823"
Scotland,1,"59,556","30,368","29,188"
Scotland,2,"58,909","29,973","28,936"
Scotland,3,"58,764","30,029","28,735"
Scotland,4,"56,877","28,962","27,915"
Scotland,5,"55,224","28,314","26,910"
Scotland,6,"55,236","28,364","26,872"
Scotland,7,"53,786","27,614","26,172"
Scotland,8,"52,325","26,660","25,665"
Scotland,9,"53,046","27,024","26,022"
Scotland,10,"55,067","28,117","26,950"
Scotland,11,"56,769","29,070","27,699"
Scotland,12,"58,656","30,244","28,412"
Scotland,13,"59,971","30,618","29,353"
Scotland,14,"61,152","31,566","29,586"
Scotland,15,"62,278","32,291","29,987"
Scotland,16,"62,145","31,785","30,360"
Scotland,17,"64,121","32,814","31,307"
Scotland,18,"68,130","34,313","33,817"
Scotland,19,"74,152","36,912","37,240"
Scotland,20,"74,835","37,647","37,188"
Scotland,21,"72,001","35,780","36,221"
Scotland,22,"72,969","36,345","36,624"
Scotland,23,"73,783","36,549","37,234"
Scotland,24,"70,352","34,738","35,614"
Scotland,25,"70,288","34,959","35,329"
Scotland,26,"69,246","33,974","35,272"
Scotland,27,"67,813","33,512","34,301"
Scotland,28,"68,342","33,383","34,959"
Scotland,29,"69,943","34,133","35,810"
Scotland,30,"69,202","34,068","35,134"
Scotland,31,"67,429","33,285","34,144"
Scotland,32,"64,193","31,799","32,394"
Scotland,33,"60,491","29,611","30,880"
Scotland,34,"60,380","29,883","30,497"
Scotland,35,"63,609","31,264","32,345"
Scotland,36,"64,355","31,366","32,989"
Scotland,37,"66,397","32,782","33,615"
Scotland,38,"70,159","34,268","35,891"
Scotland,39,"75,536","36,550","38,986"
Scotland,40,"76,562","36,826","39,736"
Scotland,41,"76,474","37,162","39,312"
Scotland,42,"79,587","38,493","41,094"
Scotland,43,"80,953","39,325","41,628"
Scotland,44,"81,122","39,634","41,488"
Scotland,45,"81,314","39,630","41,684"
Scotland,46,"84,376","41,087","43,289"
Scotland,47,"82,601","39,963","42,638"
Scotland,48,"82,554","40,426","42,128"
Scotland,49,"80,084","39,213","40,871"
Scotland,50,"78,847","38,641","40,206"
Scotland,51,"75,598","37,165","38,433"
Scotland,52,"75,660","36,960","38,700"
Scotland,53,"73,955","36,148","37,807"
Scotland,54,"71,767","35,284","36,483"
Scotland,55,"69,190","33,834","35,356"
Scotland,56,"67,232","32,965","34,267"
Scotland,57,"66,128","32,606","33,522"
Scotland,58,"64,782","31,598","33,184"
Scotland,59,"63,559","31,194","32,365"
Scotland,60,"63,996","31,525","32,471"
Scotland,61,"64,709","31,616","33,093"
Scotland,62,"66,339","32,617","33,722"
Scotland,63,"70,598","34,407","36,191"
Scotland,64,"70,880","34,560","36,320"
Scotland,65,"53,361","26,007","27,354"
Scotland,66,"55,060","26,475","28,585"
Scotland,67,"54,012","25,832","28,180"
Scotland,68,"51,495","24,202","27,293"
Scotland,69,"47,270","22,155","25,115"
Scotland,70,"45,155","20,784","24,371"
Scotland,71,"46,168","21,348","24,820"
Scotland,72,"44,637","20,399","24,238"
Scotland,73,"43,297","19,783","23,514"
Scotland,74,"41,337","18,377","22,960"
Scotland,75,"39,583","17,408","22,175"
Scotland,76,"37,832","16,522","21,310"
Scotland,77,"35,211","15,309","19,902"
Scotland,78,"33,146","14,052","19,094"
Scotland,79,"32,342","13,527","18,815"
Scotland,80,"30,065","12,226","17,839"
Scotland,81,"27,162","10,754","16,408"
Scotland,82,"25,170","9,818","15,352"
